dateTime,Lon,Lat,Altitude,Speed,Vspeed,Course,监测站点,峰值时间,持续时间,Leq,SEL,Lmax,flight_number,Aircraft_model,SiteLon,SiteLat,SiteAltitude,AirTemperature,BarometricPressure,RelativeHumidity,WindSpeed,Distance,timestamp
2025-03-04 08:29:53,126.0254742,45.6761269,3019.4,529.069939,11.9,272.906535,松山小学,08:30:07,31,56.84,56.84,76.2,CZ8639,A320,126.275,45.685,0,-6.4,1007.2,47.8,3.1,19702.33969122892,1741076993
2025-03-04 08:33:08,125.8840258,45.667177,3415.8,517.486107,8.3,209.77293,徐家窝棚,08:33:22,31,58.34,58.34,76.8,JR1505,B738,126.259,45.656,161,-6.2,1007.2,47.5,2.2,29438.318819696105,1741077188
2025-03-04 09:11:20,126.0847794,45.7288134,2273.7,499.040886,8.2,298.1226,八里堡,09:11:36,37,74.59,82.37,85.0,MF8745,B738,126.289,45.651,0,-3.9,1006.5,37.2,4.3,18252.13070628304,1741079480
2025-03-04 09:31:21,126.0136251,45.5437032,2617.3,447.277406,6.8,227.015241,松山小学,09:31:42,33,61.29,61.29,82.6,LT6667,A321,126.275,45.685,0,-3.6,1006.1,36.0,3.9,25872.378381408573,1741080681
2025-03-04 10:39:09,126.2550722,45.5716719,2421.1,402.017813,5.9,177.534959,八里堡,10:39:23,31,54.22,57.23,76.2,SC8436,B738,126.289,45.651,0,-1.9,1005.4,31.0,3.2,9520.199577519485,1741084749
2025-03-04 11:00:02,126.2123781,45.6136071,618.8,298.989403,5.6,185.194357,苇塘沟屯,11:00:16,31,48.81,48.81,76.8,HO1755,A321NEO,126.279,45.661,0,-1.1,1005.5,30.3,0.7,7423.992693032796,1741086002
2025-03-04 12:23:06,126.0429867,45.6556376,2312.2,386.755136,8.6,154.344303,松山小学,12:23:16,45,73.81,86.11,78.8,9C7303,A320NEO,126.275,45.685,0,-0.1,1003.9,28.1,3.0,18519.36599536739,1741090986
2025-03-04 13:37:01,126.2365202,45.6156967,559.7,285.791134,7.3,243.03572,徐家窝棚,13:37:15,31,63.83,73.83,72.1,9C6804,A320NEO,126.259,45.656,161,0.7,1003.2,28.1,2.2,4826.947908980698,1741095421
2025-03-04 14:20:23,126.0803998,45.5648221,2420.6,435.129473,8.0,201.083733,松山小学,14:20:40,70,74.85,92.56,78.3,CZ3743,A321NEO,126.275,45.685,0,0.5,1003.0,35.5,2.8,20364.983618992028,1741098023
2025-03-04 14:26:09,125.923639,45.6149561,2780.9,460.528337,7.0,200.400602,松山小学,14:26:57,73,74.83,91.26,79.7,9C6426,A320NEO,126.275,45.685,0,0.2,1003.0,35.4,3.2,28615.20627402138,1741098369
2025-03-04 14:53:49,126.0968346,45.5925687,2786.4,455.796393,7.8,139.014745,松山小学,14:54:01,31,50.57,56.59,76.5,PN6340,A321,126.275,45.685,0,-0.1,1003.1,37.4,2.8,17503.92428346648,1741100029
2025-03-04 14:56:12,126.0712049,45.5838471,2239.8,420.59899,6.6,165.025819,松山小学,14:56:25,34,58.59,61.6,84.3,OZ340,A320NEO,126.275,45.685,0,-0.2,1003.1,37.3,3.2,19597.070259919463,1741100172
